Player,height_in,weight_lb
John Beasley,81,225.0
Malik Beasley,76,187.0
Michael Beasley,81,235.0
Zelmo Beaty,81,225.0
Rodrigue Beaubois,72,170.0
MarJon Beauchamp,79,199.0
Byron Beck,81,225.0
Corey Beck,73,190.0
Ernie Beck,76,190.0
Art Becker,79,205.0
Moe Becker,73,185.0
Bob Bedell,79,205.0
William Bedford,84,225.0
Reece Beekman,75,190.0
Hank Beenders,78,185.0
Ron Behagen,81,185.0
Elmer Behnke,79,210.0
Marco Belinelli,77,220.0
Charlie Bell,75,200.0
Dennis Bell,77,185.0
Jordan Bell,80,216.0
Raja Bell,77,204.0
Troy Bell,73,180.0
Whitey Bell,72,180.0
Walt Bellamy,83,225.0
DeAndre' Bembry,77,210.0
Irv Bemoras,75,185.0
Leon Benbow,76,185.0
Dragan Bender,84,249.0
Jonathan Bender,83,202.0
Jerrelle Benimon,80,245.0
Benoit Benjamin,84,250.0
Corey Benjamin,78,200.0
Anthony Bennett,80,245.0
Elmer Bennett,72,170.0
Mario Bennett,78,235.0
Mel Bennett,79,200.0
Spider Bennett,75,190.0
Tony Bennett,72,175.0
Winston Bennett,79,210.0
David Benoit,80,220.0
Keith Benson,83,240.0
Kent Benson,83,245.0
Ben Bentil,81,235.0
Gene Berce,71,175.0
Gary Bergen,80,210.0
Larry Bergh,80,210.0
Joan Beringer,83,230.0
Jules Bernard,78,210.0
Ricky Berry,80,205.0
Walter Berry,80,215.0
Dairis Bertāns,76,183.0
Dāvis Bertāns,82,225.0
Del Beshore,71,165.0
Travis Best,71,182.0
Patrick Beverley,74,180.0
Saddiq Bey,80,215.0
Tyler Bey,79,215.0
Sim Bhullar,89,360.0
Wes Bialosuknia,74,185.0
Al Bianchi,75,185.0
Hank Biasatti,71,175.0
Henry Bibby,73,185.0
Mike Bibby,73,190.0
Ed Biedenbach,73,175.0
Andris Biedriņš,83,240.0
Don Bielke,79,240.0
Bob Bigelow,79,215.0
Lionel Billingy,81,215.0
Chauncey Billups,75,202.0
Dave Bing,75,180.0
Joe Binion,80,235.0
Khem Birch,80,233.0
Jabari Bird,78,198.0
Jerry Bird,78,210.0
Larry Bird,81,220.0
Otis Birdsong,75,190.0
Gale Bishop,75,195.0
Goga Bitadze,83,250.0
Onuralp Bitim,78,215.0
Bismack Biyombo,80,255.0
Nemanja Bjelica,82,234.0
Uwe Blab,85,252.0
Anthony Black,79,200.0
Charlie Black,77,200.0
Leaky Black,78,209.0
Norman Black,77,185.0
Tarik Black,81,250.0
Tom Black,82,220.0
Rolando Blackman,78,190.0
Alex Blackwell,78,250.0
Cory Blackwell,78,210.0
James Blackwell,72,190.0
Nate Blackwell,76,170.0
DeJuan Blair,79,270.0
Steve Blake,75,172.0
Antonio Blakeney,76,192.0
Will Blalock,72,205.0
George Blaney,73,175.0
Lance Blanks,76,190.0
Ricky Blanton,79,215.0
Andray Blatche,83,235.0
Mookie Blaylock,72,180.0
Eric Bledsoe,73,214.0
Keljin Blevins,76,200.0
Leon Blevins,74,160.0
John Block,81,207.0
Mike Bloom,78,190.0
Jaron Blossomgame,80,220.0
Corie Blount,81,240.0
Mark Blount,84,230.0
Vander Blue,76,200.0
Ray Blume,76,185.0
Nelson Bobb,72,170.0
Tony Bobbitt,76,190.0
Bucky Bockhorn,76,200.0
Buddy Boeheim,77,205.0
Tom Boerwinkle,84,265.0
Keith Bogans,77,215.0
Bogdan Bogdanović,77,225.0
Bojan Bogdanović,79,226.0
Muggsy Bogues,63,136.0
Andrew Bogut,84,260.0
Etdrick Bohannon,81,220.0
Bol Bol,87,220.0
Manute Bol,91,200.0
Jonah Bolden,80,225.0
Marques Bolden,82,249.0
Bill Bolger,77,205.0
Leandro Bolmaro,78,200.0
Joel Bolomboy,81,235.0
Doug Bolstorff,76,195.0
George Bon Salle,80,220.0
Adem Bona,82,235.0
Phil Bond,74,175.0
Walter Bond,77,200.0
Jordan Bone,74,180.0
Dexter Boney,76,185.0
Isaac Bonga,80,180.0
Ron Bonham,77,192.0
Anthony Bonner,80,215.0
Matt Bonner,82,235.0
Butch Booker,82,230.0
Devin Booker,77,206.0
Melvin Booker,74,185.0
Trevor Booker,80,228.0
Josh Boone,82,237.0
Ron Boone,74,200.0
Calvin Booth,83,230.0
Keith Booth,78,226.0
Bob Boozer,80,215.0
Carlos Boozer,81,258.0
Curtis Borchardt,84,240.0
Jake Bornheimer,77,200.0
Lazaro Borrell,80,220.0
Ike Borsavage,80,220.0
Vince Boryla,77,210.0
Chris Bosh,83,235.0
Jim Bostic,79,225.0
Brandon Boston Jr.,78,188.0
Lawrence Boston,80,225.0
Tom Boswell,81,220.0
Chris Boucher,80,200.0
James Bouknight,76,190.0
Ruben Boumtje-Boumtje,84,257.0
Jamaree Bouyea,74,180.0
Don Boven,76,210.0
Cal Bowdler,82,245.0
Brian Bowen,79,199.0
Bruce Bowen,79,185.0
Ryan Bowen,79,215.0
Tommie Bowens,80,220.0
Anthony Bowie,78,190.0
Sam Bowie,85,235.0
Orb Bowling,82,215.0
Ira Bowman,77,195.0
Ky Bowman,73,187.0
Nate Bowman,82,230.0
Donnie Boyce,77,196.0
Dennis Boyd,73,175.0
Freddie Boyd,74,180.0
Ken Boyd,77,195.0
Earl Boykins,65,135.0
Harry Boykoff,82,225.0
Winford Boynes,78,185.0
Cedric Bozeman,78,207.0
Steve Bracey,73,175.0
Craig Brackins,82,230.0
Gary Bradds,80,210.0
Alex Bradley,78,215.0
Alonzo Bradley,78,190.0
Avery Bradley,75,180.0
Bill Bradley,71,165.0
Charles Bradley,77,215.0
Dudley Bradley,78,195.0
Jim Bradley,80,215.0
Joe Bradley,75,175.0
Michael Bradley,82,245.0
Shawn Bradley,90,235.0
Tony Bradley,82,248.0
Mark Bradtke,82,265.0
Marques Bragg,80,230.0
Torraye Braggs,80,245.0
A.J. Bramlett,82,227.0
Adrian Branch,79,185.0
Elton Brand,81,275.0
Terrell Brandon,71,180.0
Malaki Branham,76,180.0
Bob Brannum,77,215.0
Brad Branson,82,220.0
Jesse Branson,79,195.0
Jarrell Brantley,77,250.0
Jim Brasco,73,170.0
Mike Bratz,74,185.0
Carl Braun,77,180.0
Christian Braun,78,220.0
Ignas Brazdeikis,78,221.0
Koby Brea,77,215.0
Tim Breaux,79,215.0
J.R. Bremer,74,185.0
Pete Brennan,78,205.0
Tom Brennan,75,195.0
Randy Breuer,87,230.0
Corey Brewer,81,186.0
Jamison Brewer,76,184.0
Jim Brewer,81,210.0
Ron Brewer,76,180.0
Ronnie Brewer,79,220.0
Primož Brezec,86,252.0
Frankie Brian,73,180.0
Frank Brickowski,81,240.0
Junior Bridgeman,77,210.0
Bill Bridges,78,228.0
Jalen Bridges,79,225.0
Mikal Bridges,78,209.0
Miles Bridges,79,225.0
Al Brightman,74,195.0
Amida Brimah,82,230.0
Aud Brindley,76,175.0
Isaiah Briscoe,75,215.0
John Brisker,77,210.0
Oshae Brissett,79,210.0
Allan Bristow,79,210.0
Tyrone Britt,76,190.0
Wayman Britt,74,185.0
Mike Brittain,84,235.0
Dave Britton,76,180.0
Izaiah Brockington,76,196.0
Jon Brockman,79,255.0
Ryan Broekhoff,78,215.0
Jim Brogan,76,185.0
Malcolm Brogdon,76,229.0
Gary Brokaw,76,178.0
Price Brookfield,76,185.0
Clarence Brookins,76,190.0
Aaron Brooks,72,161.0
Armoni Brooks,75,195.0
Dillon Brooks,79,225.0
Keion Brooks Jr.,79,210.0
Kevin Brooks,78,200.0
MarShon Brooks,77,200.0
Michael Brooks,79,220.0
Scott Brooks,71,165.0
Johni Broome,82,235.0
Andre Brown,81,245.0
Anthony Brown,79,224.0
Bob Brown,76,205.0
Bobby Brown,74,175.0
Bruce Brown,76,202.0
Charlie Brown Jr.,78,199.0
Chaundee Brown Jr.,77,215.0
Chucky Brown,79,214.0
Damone Brown,81,200.0
Darius Brown II,74,192.0
Darrel Brown,74,175.0
Dee Brown,74,205.0
Derrick Brown,79,225.0
Devin Brown,77,220.0
Ernest Brown,84,244.0
Fred Brown,75,182.0
George Brown,78,190.0
Gerald Brown,76,210.0
Greg Brown III,79,206.0
Harold Brown,72,155.0
Jabari Brown,76,215.0
Jaylen Brown,78,223.0
John Brown,79,220.0
Kedrick Brown,79,222.0
Kendall Brown,78,205.0
Kobe Brown,79,250.0
Kwame Brown,83,270.0
Larry Brown,69,160.0
Leon Brown,75,190.0
Lewis Brown,83,225.0
Lorenzo Brown,77,189.0
Marcus Brown,75,185.0
Markel Brown,75,190.0
Mike Brown,81,257.0
Moses Brown,86,258.0
Myron Brown,75,180.0
P.J. Brown,83,225.0
Randy Brown,74,190.0
Raymond Brown,80,220.0
Rickey Brown,82,215.0
Roger Brown,77,205.0
Shannon Brown,76,205.0
Stan Brown,75,200.0
Sterling Brown,77,219.0
Tierre Brown,74,189.0
Tony Brown,78,185.0
Troy Brown Jr.,79,215.0
Jim Browne,82,235.0
Stanley Brundy,78,210.0
Brian Brunkhorst,78,208.0
George Bruns,72,160.0
Jalen Brunson,74,190.0
Rick Brunson,76,190.0
Nicolás Brussino,80,195.0
Carter Bryant,78,220.0
Elijah Bryant,77,210.0
Em Bryant,73,175.0
Joe Bryant,82,200.0
Kobe Bryant,78,212.0
Mark Bryant,81,245.0
Thomas Bryant,81,248.0
Wallace Bryant,84,245.0
Torgeir Bryn,81,250.0
George Bucci,75,200.0
Shaq Buchanan,75,190.0
Joe Buckhalter,79,210.0
Steve Bucknall,78,215.0
Cleveland Buckner,81,210.0
Greg Buckner,76,210.0
Quinn Buckner,75,190.0
Dave Budd,78,205.0
Chase Budinger,79,209.0
Walt Budko,77,220.0
Jud Buechler,78,220.0
Kobe Bufkin,76,195.0
Rodney Buford,77,189.0
Matt Bullard,82,215.0
Reggie Bullock,78,205.0
Larry Bunce,84,240.0
Greg Bunch,78,190.0
Dick Bunt,72,170.0
Bill Buntin,79,250.0
Bill Bunting,80,200.0
