Age,G,GS,MP,FG,FGA,FG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3P,3PA,3P%,2P,2PA,2P%,eFG%,career_ft_pct,prev_ft_pct,career_seasons,target,height_in,weight_lb,ast_to_tov,pts_per_fga,threep_rate,reb_per_min,stocks_per_min,scoring_load,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
26.0,73.0,0.0,19.4,4.3,8.6,0.494,1.3,2.1,3.4,1.1,0.4,0.3,1.5,2.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7553191489361701,0.745,4,1,80,210.0,0.7333333333333334,1.1627906976744187,0.0,0.1752577319587629,0.03608247422680413,0.443298969072165,False,False,False,True,False
22.0,45.0,20.0,18.4,2.6,5.8,0.444,0.8,2.1,2.9,2.0,0.8,0.4,0.9,2.2,6.5,0.2,0.6,0.393,2.3,5.2,0.451,0.466,0.0,0.0,0,0,77,209.0,2.2222222222222223,1.120689655172414,0.10344827586206896,0.15760869565217392,0.06521739130434784,0.31521739130434784,False,False,False,False,True
23.0,81.0,73.0,27.9,4.2,8.9,0.467,1.1,2.7,3.8,2.5,1.1,0.3,1.7,2.5,10.7,0.5,1.4,0.325,3.7,7.5,0.494,0.493,0.6875000000000002,0.685,1,1,77,209.0,1.4705882352941178,1.2022471910112358,0.15730337078651685,0.13620071684587814,0.05017921146953406,0.31899641577060933,False,False,False,False,True
24.0,83.0,11.0,19.6,1.8,4.4,0.411,0.5,2.2,2.7,1.9,0.9,0.3,1.1,1.6,5.2,0.5,1.2,0.398,1.3,3.2,0.416,0.467,0.7317073170731705,0.764,2,1,77,209.0,1.727272727272727,1.1818181818181817,0.2727272727272727,0.1377551020408163,0.06122448979591836,0.22448979591836735,False,False,False,False,True
26.0,50.0,4.0,19.2,1.9,4.7,0.401,0.5,2.3,2.8,2.0,1.3,0.1,1.1,1.8,4.8,0.1,0.6,0.194,1.8,4.1,0.432,0.414,0.7540983606557377,0.764,4,0,77,209.0,1.8181818181818181,1.0212765957446808,0.1276595744680851,0.14583333333333334,0.07291666666666667,0.24479166666666669,False,False,False,False,True
27.0,82.0,14.0,23.8,3.0,7.2,0.411,0.6,2.4,3.0,2.9,1.3,0.2,1.4,2.4,8.0,0.5,1.5,0.364,2.4,5.8,0.424,0.449,0.7534246575342466,0.71,5,1,77,209.0,2.0714285714285716,1.1111111111111112,0.20833333333333331,0.12605042016806722,0.06302521008403361,0.3025210084033613,False,False,False,False,True
28.0,76.0,33.0,31.5,4.4,9.4,0.473,0.4,3.7,4.1,5.0,1.4,0.1,2.7,2.3,11.6,0.7,2.2,0.312,3.8,7.2,0.524,0.511,0.7692307692307693,0.829,6,1,77,209.0,1.8518518518518516,1.2340425531914894,0.23404255319148937,0.13015873015873014,0.047619047619047616,0.2984126984126984,False,False,False,False,True
29.0,48.0,16.0,30.6,4.6,10.2,0.449,0.5,3.5,4.0,3.7,1.2,0.3,1.9,1.5,12.2,1.1,2.7,0.398,3.5,7.5,0.467,0.501,0.7692307692307693,0.768,7,1,77,209.0,1.9473684210526319,1.196078431372549,0.26470588235294124,0.13071895424836602,0.049019607843137254,0.3333333333333333,False,False,False,False,True
30.0,80.0,40.0,29.7,3.6,8.3,0.429,0.8,3.6,4.4,3.5,1.6,0.1,1.4,2.2,9.0,0.5,1.4,0.33,3.1,6.9,0.449,0.457,0.7746478873239436,0.787,8,1,77,209.0,2.5,1.0843373493975903,0.1686746987951807,0.14814814814814817,0.05723905723905725,0.27946127946127947,False,False,False,True,False
31.0,75.0,41.0,28.2,3.5,7.7,0.459,0.6,2.8,3.4,2.6,1.1,0.3,1.4,1.9,9.2,1.0,2.3,0.436,2.5,5.4,0.469,0.524,0.779874213836478,0.836,9,1,77,209.0,1.8571428571428574,1.1948051948051948,0.2987012987012987,0.12056737588652482,0.049645390070921995,0.2730496453900709,False,False,False,True,False
